day,size
2017-10-12,350
2017-10-13,340
2017-10-14,390
2017-10-15,340
2017-10-16,450
2017-10-17,375
2017-10-18,410
2017-10-19,300
2017-10-20,400
2017-10-21,250
2017-10-22,355
2017-10-23,320
2017-10-24,450
2017-10-25,375
2017-10-26,420
2017-10-27,540
2017-10-28,380
2017-10-29,620
2017-10-30,620
2017-10-31,620
2017-11-01,590
2017-11-02,730
2017-11-03,750
2017-11-04,620
2017-11-05,510
2017-11-06,680
2017-11-07,600
2017-11-08,745
2017-11-09,720
2017-11-10,770
2017-11-11,850
2017-11-12,730
2017-11-13,760
2017-11-14,720
2017-11-15,720
2017-11-16,800
2017-11-17,830
2017-11-18,690
2017-11-19,930
2017-11-20,780
2017-11-21,755
2017-11-22,770
2017-11-23,710
2017-11-24,650
2017-11-25,540
2017-11-26,700
2017-11-27,700
2017-11-28,640
2017-11-29,730
2017-11-30,760
2017-12-01,680
